# Breton Male NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Achane Locher | tr
Addert Hastien | tr
Admiral Rolston | vanilla
Adric Jerenise | tr
Adwig Tustin | tr
Alodie Jes | vanilla
Alomon Juspethe | tr
Alvaren Bachand | tr
Alynward Lancarl | tr
Alynward Manse | tr
Amandin Platier | tr
Andre Maul | vanilla
Antio Florane | tr
Antoine Cassel | tr
Arnand Liric | vanilla
Arniel Duront | tr
Arquebald Vene | tr
Arthiele Janois | tr
Astien Lothaire | tr
Astien Masoriane | vanilla
Barel Cantride | tr
Barnand Erelie | vanilla
Barthel Moret | tr
Bertran Tivier | tr
Birard Adrognese | vanilla
Bradon Vinielle | tr
Breynard Ancois | tr
Caemon Satell | tr
Ceordo Sauvage | tr
Chatal Mendor | tr
Ciel Nestal | vanilla
Cirges Adrard | vanilla
Clovo Black-Hand | tr
Connor Launard | tr
Corane Morianne | tr
Corbinian Bronnic | tr
Corthe Tinelle | tr
Crendal Barthe | tr
Crerier Hasteley | tr
Cydne Jouarge | tr
Daric Bielle | vanilla
Dariot Fanander | tr
Darron Marceau | tr
Davide Cassel | tr
Debentien Sylbenitte | vanilla
Delven Beriel | tr
Demaric Derroltane | tr
Docien Gilmannot | tr
Doniphan Messor | tr
Dunard Bauring | tr
Dyric Esmery | tr
Edon Predelac | tr
Eduard Rissel | tr
Edwin Laille | tr
Edwinn Moliere | tr
Eliselle Ondain | tr
Emaroc Harquart | tr
Erech Roitener | tr
Ernand Adorvien | tr
Ernand Carstien | tr
Ernand Thierry | vanilla
Ernandre Nermin | tr
Ernard Genis | vanilla
Ernest Cergelle | tr
Eseld Veranon | tr
Ewein Samantine | tr
Faric Panoit | vanilla
Fenand Soutin | tr
Fenandre Hutresien | tr
Fenas Madach | vanilla
Fentus Stedanne | tr
Ferarilie Riscel | vanilla
Feric Litain | tr
Fernard Mannick | tr
Ficois Meras | tr
Floyd Charien | tr
Fonten Flam | tr
Franparo Seledre | tr
Frizkav Brutya | vanilla
Frostien Ephine | vanilla
Galder Dubosc | tr
Garath Benaque | tr
Garrick Usald | tr
Garth, The Goblin King | tr
Gaspar Cassel | tr
Gaston Lynier | tr
Geod Cardonese | tr
Geor Matreinace | vanilla
Georges Broles | tr
Geric Tanier | tr
Gervis Jormand | tr
Girton Erle | tr
Goel Lamorac | tr
Henri Bouchon | tr
Herges Carillien | tr
Hier Vignolle | tr
Hobert Corovob | tr
Hormidac Farralie | tr
Hulbert Vautri | tr
Idhdean Tailas | vanilla
Imeric Geordaine | tr
Irbran Kirbatha | vanilla
Istirus Perrick | tr
Jadier Mannick | vanilla
Jathenard Gatal | tr
Jeanciele Macile | vanilla
Jeande Beluel | tr
Jeatte Carielle | tr
Jerian Dolbanitte | vanilla
Jeric Selvand | tr
Jermayn Vilas | tr
Jociel Marnard | tr
Jocien Ancois | vanilla
Joncis Dalomax | vanilla
Joricas Rosard | tr
Joubart Ercelle | tr
Julien Adevec | tr
Kevlin Sereile | tr
Lanian Grivepien | tr
Lanie Endre | vanilla
Larence Talland | tr
Lariast Batalle | tr
Laures Agnacel | tr
Laurice Deauxnim | tr
Laurice Endranine | tr
Lazare Pajaud | tr
Lechlaud Rorielle | tr
Lelles Etrade | tr
Leobert Velain | tr
Leopold Dufrese | tr
Liel Aurmine | tr
Listien Bierles | vanilla
Magnakar Paracel | tr
Mandel Marose | tr
Maniel Sylbenitte | tr
Manis Virmaulese | vanilla
Marcel Artaud | tr
Marcel Halomie | tr
Marcel Maurard | vanilla
Marcille Dumond | tr
Marq Coutenan | tr
Marten Arcellio | tr
Marthand Meques | tr
Maurice Falois | tr
Mebestian Ence | vanilla
Mebestian Stoine | tr
Medemilian Rane | tr
Merard Geves | vanilla
Merdon Dillmoon | tr
Merthierry Laelippe | vanilla
Merton Carlais | tr
Mirar Galsic | tr
Mutilated Bandit | tr
Neel Gymont | tr
Niran Fancelle | tr
Noam Dantaine | tr
Noleon Sele | vanilla
Norlan Rosehearth | tr
Norrent Ardenier | tr
Oirdo Malamartle | tr
Olrede Damont | tr
Orick Lamard | tr
Orille Sochand | tr
Ormax Geles | vanilla
Orrent Geontene | vanilla
Ossic Malance | tr
Paur Maston | vanilla
Pavel Bordier | tr
Pelwyn Decarme | tr
Perard Sele | tr
Perien Aurelie | vanilla
Peror Senane | tr
Phane Rielle | vanilla
Philaminus Duli | tr
Phinis Evrard | tr
Piand Morrick | tr
Pien Vene | tr
Piler Orthus | tr
Podric Belfort | tr
Polodie Floine | tr
Reby Ploussard | tr
Relien Rirne | vanilla
Reynant Alciente | tr
Reynard Valtienne | tr
Robere Cassel | tr
Rodelien Geric | tr
Rogier Yfrac | tr
Rubyn Georick | tr
Ruran Stoine | vanilla
Sienne Alabarde | tr
Simine Fralinie | vanilla
Socucius Ergalla | vanilla
Stenoche Hedier | tr
Stevien Kofken | tr
Tarith Rosehearth | tr
Theraile Salerne | tr
Therric Radvienne | tr
Thetrard Phirrienele | vanilla
Thibret Tailas | tr
Todde Belladon | tr
Todde Bravaile | tr
Torvic Geondere | tr
Usquebald Marence | tr
Valentin Lynier | tr
Vanrick Joulard | tr
Varnand Nermin | tr
Varnis Stieve | vanilla
Verick Gemain | vanilla
Vincebald Burlyn | tr
Vogier Hayne | tr
Wedain Gamache | tr
Weilyn Benele | tr
Willam Rilard | tr
Ylbert Meric | vanilla
Yves Chatillon | tr
