# Imperial Male NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Accius Emnor | tr
Acilius Hosidius | tr
Adonnis Catraso | tr
Aebondeius Jucanis | vanilla
Agastulus Anasius | tr
Agdistrius Rictor | tr
Alanius Calatus | tr
Albecius Colollius | vanilla
Alcedo Nirol | tr
Alcus Pirilo | tr
Aldrianus Drusus | tr
Alius Flagius | tr
Allian Carbo | vanilla
Alostian Galulus | tr
Amiliano Issaeian | tr
Anatolius Datus | tr
Andron Torrantis | tr
Angalius Olus | tr
Antonius Machias | tr
Apelles Mero | tr
Apisphagus Thryx | tr
Appius Lerus | tr
Aramius Marolus | tr
Arcadus Dugulus | tr
Arcturus Pilus | tr
Arcturus Tragus | tr
Arenar Dorarus | tr
Ariulcabor Leontiulonus | vanilla
Arius Mento | tr
Arius Rulician | vanilla
Arlo Ajaxus | tr
Arnos Clatian | tr
Arrinis Cerunia | vanilla
Artorius Nux | tr
Asius Tarlo | tr
Asphobos Soanix | tr
Astius Claenia | tr
Astius Hanotepelus | vanilla
Atilius Celucian | tr
Attelivupis Catius | vanilla
Attocios Phiallos | tr
Attrebus Ayonis | tr
Auctinius Voteporix | tr
Audeius Vitellie | tr
Audenian Valius | vanilla
Augurius Sialius | vanilla
Auiphion Melanus | tr
Aunius Autrus | vanilla
Averio Castorius | tr
Bacola Closcius | vanilla
Bacola Delius | tr
Bacola Herennius | tr
Balbinus Nervax | tr
Balicius Coloni | tr
Barabus Inclodios | tr
Barilus Qhyre | tr
Barlovius Vex | tr
Baro Kelaius | tr
Bennus Vadius | tr
Benunius Agrudilius | vanilla
Boleas Gurius | tr
Bonnius Velvus | tr
Boss Crito | vanilla
Bossman Colennus | tr
Brallus Mele | tr
Bravilo Julianian | tr
Bruscus Salivarus | tr
Burcanius Varo | vanilla
Caccia Artoria | tr
Caccian Famula | tr
Caccian Hers | vanilla
Caccius Maximus | tr
Caedan Jorval | tr
Caius Cosades | vanilla
Caius Milacio | tr
Calvus Bursio | tr
Canctunian Ponius | vanilla
Cantorius Tramel | tr
Cap'n Fentus | tr
Cares Richton | tr
Cariyn Sepucia | tr
Carolos Lucianus | tr
Caros Cocceius | tr
Cartil Florius | tr
Cassius Olcinius | vanilla
Cassus Pertorius | tr
Cavortius Albuttian | vanilla
Cedus Aponian | tr
