# Breton full names from Project Cyrodiil
# Used for duplicate checking

Abrea Drelonde
Adelyne Teuch
Adlan Bercourt
Altian Pristac
Andren Baldris
Andriel Nienne
Anguy Sertrand
Aristide Gedeon
Astroc Manev
Auderic Romaud
Austerne Ballard
Barbona Disenne
Bea Lailonde
Bennio Malborre
Braldyn Herraile
Caralie Iscende
Chariles Gallie
Charles Agerne
Christophe Marane
Cinelle Aurimonde
Cladine Argande
Corien Carais
Corrine Torand
Delisse Havariere
Derelle Banoche
Dumaise Brache
Echille Garthael
Edmun Larche
Edrien Ralande
Edwyn Niniel
Elausa Yvienne
Elisanne Baquois
Erline Bertault
Ester Turiline
Fabine Theriade
Flavien Herault
Gebriel Varache
Jaene Dalinde
Jasette Leclerc
Jauristair Geric
Jerone Arippe
Lanard Dubroc
Larian Muthor
Leonora Vygant
Leontine Durath
Maraise Nesaine
Marette Lienne
Marquand Lavalle
Moira Byrnette
Otha Carndel
Perrere Casenne
Phylaux Maryline
Rodde Bochenfelde
Saric Evelard
Sielle Eumand
Sosynne Farnele
Stelane Maruthine
Stephine Mondery
Talisse Torrigne
Taryce Imber
Theodesta Deciret
Vatasha Trenelle
Voleric Rouselles
Voris Taduc
Wolli Antipodine
Wynn Jenseric
Yuline Gulond
Zofia Gedeon
