# Breton full names from Project Cyrodiil
# Used for duplicate checking

Albec Letarte
Azra Nightwielder
Bireene Farcin
Bresiele Aclette
Brielle Pauvrise
Caninetta Declard
Cerise Nouvenne
Corrick Einber
Crendal Renoit
Dalla Ormeste
Darette Bichaune
Davanna Evamain
Dunard Bulin
Edmond Gavendien
Edric Marchelle
Elara Layancel
Erald Ambiste
Erdwyn Gosminarde
Erond Oglast
Eugien Berard
Eumand Brilwald
Euwan Gospelt
Fenand Vette
Geod Entoriane
Geriod Bachard
Gilderay Esmirenne
Hathric Eaubentot
Herard Emie
Jander Brinard
Jauffre Layancel
Jeanelle Libette
Jerard Remieu
Jerick Gavonne
Kanlynn Vancor
Lyanne Disclette
Malrec Mascarde
Maniel Rigmand
Morven Ervine
Nicene Maulle
Pelbelle Tiralese
Peryn Escorierre
Rianard Bauvrise
Ricord Beaforv
Riente Fastien
Rochard Venric
Rosleen Moora
Samine Achondard
Varna Brinard
Varnand Thetri
Vernina Monuic
Virno Joloit
Vofrod Bruchard
Ylbent Bovkinna
Yoreld Clauvais
Ysabeth Senette
Yuana Threti
