# Breton full names from Project Cyrodiil
# Used for duplicate checking

Abrelle Masolaude
Achane Locher
Addert Hastien
Adette Riatelle
Adric Jerenise
Adwig Tustin
Alis Chaufort
Aloise Barnalie
Alomon Juspethe
Alvaren Bachand
Alynward Lancarl
Alynward Manse
Amalie Perenne
Amandin Platier
Anice Derielle
Annalina Conrel
Antio Florane
Antoine Cassel
Ariah Orence
Arniel Duront
Arquebald Vene
Arthiele Janois
Astien Lothaire
Aurilyn Glennec
Barel Cantride
Barthel Moret
Bertran Tivier
Blanche Talover
Bradon Vinielle
Brenne Smitte
Breynard Ancois
Bribanne Erien
Caemon Satell
Caramantine Vois
Carin Lateur
Carine Vienne
Ceordo Sauvage
Chatal Mendor
Cherese Murric
Cherleynne Vianette
Claudine Hesault
Clovo Black-Hand
Connor Launard
Corane Morianne
Corbinian Bronnic
Corthe Tinelle
Crendal Barthe
Crerier Hasteley
Culenne Mair
Cydne Jouarge
Daniene Alliette
Darienne Cosserilie
Dariot Fanander
Darron Marceau
Davide Cassel
Decimia Gastoit
Delphine Lencolia
Delven Beriel
Demaric Derroltane
Docelle Bien
Docien Gilmannot
Doniphan Messor
Dorlene Musette
Dors Lecarvenne
Dunard Bauring
Dyric Esmery
Edon Predelac
Eduard Rissel
Edwin Laille
Edwina Luciane
Edwinn Moliere
Elia Marie
Elia Teagette
Elindale Pocogina
Eliselle Ondain
Emaroc Harquart
Ennia Faleille
Erech Roitener
Ernand Adorvien
Ernand Carstien
Ernandre Nermin
Ernest Cergelle
Ervilla Deschamp
Eseld Veranon
Esolde Venonne
Estelle Daulisse
Evelara Yeoro
Ewein Samantine
Faselle Mirenne
Felyca Pavelle
Fenand Soutin
Fenandre Hutresien
Fentus Stedanne
Feric Litain
Ferie Luquere
Fernard Mannick
Ficois Meras
Floyd Charien
Fonten Flam
Francessa Morianne
Francine Aldard
Francine Catreau
Franparo Seledre
Frisette Epanine
Galder Dubosc
Garath Benaque
Garline Embor
Garrick Usald
Gaspar Cassel
Gaston Lynier
Geloise Marard
Geniette Winvale
Geod Cardonese
Georges Broles
Geric Tanier
Gertrine Divelle
Gervis Jormand
Gine Rorielle
Girton Erle
Gisele Tremouille
Goel Lamorac
Grenivie Jemine
Helice Rastin
Hemmette Fauler
Henri Bouchon
Herges Carillien
Hier Vignolle
Hindas Nakal
Hobert Corovob
Hormidac Farralie
Hulbert Vautri
Hyacinthe Jaselle
Iloisa Arrymont
Imeric Geordaine
Irelle Namarce
Istirus Perrick
Jaiel Milien
Janevynne Arthell
Janise Sylberfain
Jathenard Gatal
Jeande Beluel
Jeanette Sitte
Jeanne Duchamp
Jeatte Carielle
Jeric Selvand
Jermayn Vilas
Joaline Frey
Jocey Balarc
Jociel Marnard
Joricas Rosard
Joslin Stoinles
Joubart Ercelle
Julien Adevec
Julienne Bault
Julise Munissien
Kevlin Sereile
Lanian Grivepien
Lanie Merian
Larence Talland
Lariast Batalle
Lasele Barthel
Laures Agnacel
Laurice Deauxnim
Laurice Endranine
Lazare Pajaud
Lechlaud Rorielle
Leila Auberdine
Leile Guiscar
Lelles Etrade
Leobert Velain
Leopold Dufrese
Liel Aurmine
Lielle Veris
Lilou Marcott
Lily Osperese
Lina Reillen
Lisabet Risken
Lucana Sagramore
Lucienne Henoit
Lys Metiax
Mabrilette Eusine
Macilda Belladon
Magnakar Paracel
Mainette Jes
Mala Mirandus
Mandel Marose
Maniel Sylbenitte
Mantia Balgan
Marcel Artaud
Marcel Halomie
Marcille Dumond
Margot Geric
Marie Gulet
Marielle Jes
Marq Coutenan
Marten Arcellio
Marthand Meques
Maurice Falois
Mebestian Stoine
Medemilian Rane
Mella Firesse
Menarie Teles
Merdon Dillmoon
Meredicea Apher
Merton Carlais
Mirabelle Talimet
Mirar Galsic
Muriele Jerine
Murletta Jarontus
Neel Gymont
Nilara Beleth
Niran Fancelle
Noam Dantaine
Noebelle Jodoine
Norlan Rosehearth
Norrent Ardenier
Nuria Cantride
Oirdo Malamartle
Olivie Arche
Olrede Damont
Ophelie Vilifiene
Orelle Faugard
Orick Lamard
Orille Sochand
Ossic Malance
Ostrala Rouillac
Parai Galitte
Parnilla Marard
Pavel Bordier
Pelwyn Decarme
Perard Sele
Perien Abelard
Peror Senane
Philaminus Duli
Phinis Evrard
Piand Morrick
Pien Vene
Piler Orthus
Pilla Seyence
Podric Belfort
Polodie Floine
Reby Ploussard
Renie Cierraise
Rerienne Lebaue
Revane Branred
Reynalie Corovob
Reynant Alciente
Reynard Valtienne
Rianele Sele
Riari Ephiene
Robere Cassel
Rodelien Geric
Rogier Yfrac
Rubyn Georick
Rusanna Borrec
Sabia Bechand
Satiria Velle
Sienne Alabarde
Simone Megale
Stenoche Hedier
Stevien Kofken
Tania Rautrine
Tarith Rosehearth
Theraile Salerne
Therric Radvienne
Thibret Tailas
Tiffaine Morette
Tirelle Saleau
Todde Belladon
Todde Bravaile
Torvic Geondere
Undine Lelard
Usquebald Marence
Valentin Lynier
Valia Vautere
Vanrick Joulard
Varnand Nermin
Vettorica Jeralfie
Vincebald Burlyn
Vogier Hayne
Wedain Gamache
Weilyn Benele
Willam Rilard
Yasmine Aumilie
Ysadora Bellette
Yssibelle Hayretz
Yuaile Phyroc
Yves Chatillon
Zenurie Mondette
