# Breton full names from Project Cyrodiil
# Used for duplicate checking

Abelle Chriditte
Aditte Oges
Admiral Rolston
Ales Julalanie
Alodie Jes
Ama Nin
Amarie Charien
Andre Maul
Arbene Gernis
Arielle Phiencel
Arnand Liric
Asciene Rane
Astien Masoriane
Aurane Frernis
Aurnie Vanne
Barnand Erelie
Belene Yvienne
Bereditte Jastal
Birard Adrognese
Ciel Nestal
Cienne Sintieve
Cirges Adrard
Dabienne Mornardl
Darene Bienne
Daric Bielle
Debentien Sylbenitte
Derelle Ysciele
Detritus Caria
Edre Retene
Edwinna Elbert
Elbert Nermarc
Emusette Bracques
Ernand Thierry
Ernard Genis
Faric Panoit
Fasele Viralaine
Fasile Charascel
Fenas Madach
Ferarilie Riscel
Francois Marquardt
Frelene Acques
Frizkav Brutya
Frostien Ephine
Geon Auline
Geor Matreinace
Grandfather Frost
Gulitte Cienne
Helviane Desele
Heniele Milielle
Idhdean Tailas
Irbran Kirbatha
Jadier Mannick
Janand Maulinie
Jeanciele Macile
Jeanne Andre
Jeberilie Moniel
Jerian Dolbanitte
Jocien Ancois
Joncis Dalomax
Lanie Endre
Leles Birian
Lielle Vette
Lirielle Stoine
Listien Bierles
Louis Beauchamp
Mabrelle Geles
Malielle Broles
Maline Masolaude
Manis Virmaulese
Maranique Jolvanne
Marcel Maurard
Marielle Amedee
Marthe Arthe
Masalinie Merian
Maurrie Aurmine
Mebestian Ence
Melie Frenck
Merard Geves
Merthierry Laelippe
Milie Hastien
Mitanne Limax
Muriel Sette
Myn Farr
Noleon Sele
Ormax Geles
Orrent Geontene
Paur Maston
Perien Aurelie
Phane Rielle
Pierlette Rostorard
Piernette Beluelle
Relie Jeannie
Relien Rirne
Rerlas Mon
Rianciene Aurilie
Ronerelie Philulanie
Ruran Stoine
Simine Fralinie
Socucius Ergalla
Sosia Caristiana
Surane Leoriane
Synette Jeline
Thetrard Phirrienele
Varnis Stieve
Verick Gemain
Vienne Gilelle
Virene Mene
Ylbert Meric
