# Breton Female NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Abelle Chriditte | vanilla
Abrelle Masolaude | tr
Adette Riatelle | tr
Aditte Oges | vanilla
Ales Julalanie | vanilla
Alis Chaufort | tr
Aloise Barnalie | tr
Ama Nin | vanilla
Amalie Perenne | tr
Amarie Charien | vanilla
Anice Derielle | tr
Annalina Conrel | tr
Arbene Gernis | vanilla
Ariah Orence | tr
Arielle Phiencel | vanilla
Aurane Frernis | vanilla
Aurilyn Glennec | tr
Aurnie Vanne | vanilla
Belene Yvienne | vanilla
Blanche Talover | tr
Brenne Smitte | tr
Bribanne Erien | tr
Caramantine Vois | tr
Carin Lateur | tr
Carine Vienne | tr
Cherese Murric | tr
Cherleynne Vianette | tr
Cienne Sintieve | vanilla
Claudine Hesault | tr
Culenne Mair | tr
Dabienne Mornardl | vanilla
Daniene Alliette | tr
Darene Bienne | vanilla
Darienne Cosserilie | tr
Dark Brotherhood Assassin | tr
Decimia Gastoit | tr
Delphine Lencolia | tr
Derelle Ysciele | vanilla
Docelle Bien | tr
Dorlene Musette | tr
Dors Lecarvenne | tr
Edwina Luciane | tr
Edwinna Elbert | vanilla
Elia Marie | tr
Elia Teagette | tr
Elindale Pocogina | tr
Emusette Bracques | vanilla
Ennia Faleille | tr
Ervilla Deschamp | tr
Esolde Venonne | tr
Estelle Daulisse | tr
Evelara Yeoro | tr
Fasele Viralaine | vanilla
Faselle Mirenne | tr
Fasile Charascel | vanilla
Felyca Pavelle | tr
Ferie Luquere | tr
Francessa Morianne | tr
Francine Aldard | tr
Francine Catreau | tr
Frelene Acques | vanilla
Frisette Epanine | tr
Garline Embor | tr
Geloise Marard | tr
Geniette Winvale | tr
Gertrine Divelle | tr
Gine Rorielle | tr
Gisele Tremouille | tr
Grenivie Jemine | tr
Gulitte Cienne | vanilla
Helice Rastin | tr
Helviane Desele | vanilla
Hemmette Fauler | tr
Heniele Milielle | vanilla
Hindas Nakal | tr
Hyacinthe Jaselle | tr
Iloisa Arrymont | tr
Irelle Namarce | tr
Jaiel Milien | tr
Janand Maulinie | vanilla
Janevynne Arthell | tr
Janise Sylberfain | tr
Jeanette Sitte | tr
Jeanne Duchamp | tr
Jeberilie Moniel | vanilla
Joaline Frey | tr
Jocey Balarc | tr
Joslin Stoinles | tr
Julienne Bault | tr
Julise Munissien | tr
Lanie Merian | tr
Lasele Barthel | tr
Leila Auberdine | tr
Leile Guiscar | tr
Leles Birian | vanilla
Lielle Veris | tr
Lielle Vette | vanilla
Lilou Marcott | tr
Lily Osperese | tr
Lina Reillen | tr
Lirielle Stoine | vanilla
Lisabet Risken | tr
Lucana Sagramore | tr
Lucienne Henoit | tr
Lys Metiax | tr
Mabrelle Geles | vanilla
Mabrilette Eusine | tr
Macilda Belladon | tr
Mainette Jes | tr
Mala Mirandus | tr
Malielle Broles | vanilla
Maline Masolaude | vanilla
Mantia Balgan | tr
Maranique Jolvanne | vanilla
Margot Geric | tr
Marie Gulet | tr
Marielle Amedee | vanilla
Marielle Jes | tr
Marthe Arthe | vanilla
Masalinie Merian | vanilla
Maurrie Aurmine | vanilla
Melie Frenck | vanilla
Mella Firesse | tr
Menarie Teles | tr
Meredicea Apher | tr
Milie Hastien | vanilla
Mirabelle Talimet | tr
Muriel Sette | vanilla
Muriele Jerine | tr
Murletta Jarontus | tr
Nilara Beleth | tr
Noebelle Jodoine | tr
Nuria Cantride | tr
Olivie Arche | tr
Ophelie Vilifiene | tr
Orelle Faugard | tr
Ostrala Rouillac | tr
Parai Galitte | tr
Parnilla Marard | tr
Perien Abelard | tr
Pierlette Rostorard | vanilla
Piernette Beluelle | vanilla
Pilla Seyence | tr
Relie Jeannie | vanilla
Renie Cierraise | tr
Rerienne Lebaue | tr
Revane Branred | tr
Reynalie Corovob | tr
Rianciene Aurilie | vanilla
Rianele Sele | tr
Riari Ephiene | tr
Ronerelie Philulanie | vanilla
Rusanna Borrec | tr
Sabia Bechand | tr
Satiria Velle | tr
Simone Megale | tr
Sosia Caristiana | vanilla
Surane Leoriane | vanilla
Synette Jeline | vanilla
Tania Rautrine | tr
Tiffaine Morette | tr
Tirelle Saleau | tr
Undine Lelard | tr
Valia Vautere | tr
Vettorica Jeralfie | tr
Vienne Gilelle | vanilla
Virene Mene | vanilla
Yasmine Aumilie | tr
Ysadora Bellette | tr
Yssibelle Hayretz | tr
Yuaile Phyroc | tr
Zenurie Mondette | tr
