# Dark Elf full names from Project Cyrodiil
# Used for duplicate checking

Abassel Asserbassalit
Abibaal Assillariran
Abishpulu Shand
Adairan Lalansour
Adaishah Ahanidiran
Adaves Therayn
Addarnat Assardidairan
Adibael Hainnabibi
Adil Norvayn
Adondasi Sadalvel
Adosi Darano
Adrusu Rothrano
Adusamsi Assurnarairan
Ahanabi Assullinbanud
Ainab Yassabisun
Ainat Maessabibi
Alam Merys
Alanil Llaram
Alarvyne Indalas
Alavesa Samori
Aldam Berendus
Alds Baro
Aldyne Arenim
Alenus Vendu
Aleri Aren
Aleri Duro
Alfe Fyr
Alms Helothren
Almse Arenim
Almsi Oren
Alnas Sendu
Aloie Indaram
Alonisea Varys
Alurue Saryon
Alvan Llarys
Alvela Saram
Alven Salas
Alveno Andules
Alvis Teri
Alvor Andas
Alvos Sadri
Alvur Hleran
Alvura Othrenim
Alynu Aralen
Amili Llaram
Anas Ulven
Anasour Selitbael
Andalin Hardil
Anden Thilarvel
Andilo Thelas
Andilu Drothan
Andril Othran
Ane Teria
Anel Rethelas
Anes Hlaren
Anes Vendu
Anis Seloth
Anise Romoran
Anit Eramarellaku
Ano Andaram
Ano Dran
Ano Vando
Ansu Senatbael
Antu Assarrimisun
Aralosea Romori
Arara Uvulas
Aras Girendas
Arelvam Sadrano
Aren Maren
Arethan Mandas
Arns Saren
Arns Uvalas
Arnsa Thendas
Arnsi Nerandas
Aroa Nethalen
Aron Andaren
Arsyn Salas
Artisa Arelas
Arvama Rathri
Arvamea Dalvani
Arvela Falas
Arven Nalyn
Arver Rethul
Arvs Raram
Arvso Tharen
Arvyn Llerayn
Aryne Telnim
Aryni Orethi
Asha-Ammu Kutebani
Asharapli Almu
Ashuma-Nud Matluberib
Ashumanu Eraishah
Assallit Assunbahanammu
Assamanu Shashipal
Assamanut Sonnerralit
Assantus Hansar
Assatlit Assudnilamat
Assi Serimilk
Assimusa Samsi
Assumanu Mantiti
Assurdan Serdimapal
Athal Nerano
Athanden Girith
Athelyn Malas
Ather Belden
Athesie Andas
Athyn Sarethi
Avon Ravel
Avoni Dren
Avron Gols
Avus Belvilo
Badala Velothren
Badama Andarys
Baladas Demnevanni
Balen Andrano
Balen Sedrethi
Balen Vendu
Baleni Salavel
Balis Favani
Balis Sari
Balsa Girith
Balur Salvu
Balver Sarethan
Balyn Omavel
Balynu Teran
Banden Indarys
Banor Seran
Baren Alen
Barusi Venim
Bedal Alen
Beden Giladren
Bedenea Nethan
Bedynea Gimalvel
Belas Othren
Beldrose Dralor
Beleru Hledri
Belos Falos
Bels Uvenim
Belvis Sedri
Benar Neleth
Benudni Ilurnubishpal
Berapli Ashumallit
Beraren Sadri
Berel Sala
Berela Andrano
Bertis Uvani
Bervaso Thenim
Bervyn Lleryn
Bethes Sarothril
Bevadar Bels
Bevene Releth
Beyte Fyr
Bidsi Gilvayn
Bildren Areleth
Bilen Velothril
Bilos Andrethi
Birama Andaram
Birer Indaram
Bivale Teneran
Boderi Farano
Bodsa Nothryon
Bolayn Rethan
Boldrisa Andrano
Boler Bandas
Bolnor Andrani
Bols Indalen
Bolvus Ieneth
Bolvyn Venim
Bolyn Elval
Boryn Varen
Bradil Elarven
Bralas Mels
Bralis Seralas
Bralsea Seloth
Bralyn Androthi
Brarayni Sarys
Bratheru Oran
Brathus Dals
Bravora Relavel
Bravosi Henim
Braynas Hlervu
Bredasu Gilaram
Brelar Andas
Brelayne Verano
Brelda Quintella
Brelo Athelvis
Brelyn Indarys
Brelyna Andoril
Brerama Selas
Brerayne Raloran
Brethas Deras
Brevasu Heran
Breves Omoril
Brevosi Indalen
Breynis Faryon
Breyns Othravel
Breyns Randas
Brildraso Nethan
Brilnosu Llarys
Briras Tyravel
Broder Garil
Bronosa Nedalor
Broris Fals
Brothes Oran
Buoyant Armiger
Conoon Chodala
Crazy-Legs Arantamo
Dakin Kuntarnammu
Dalam Gavyn
Dalami Hlaalu
Daldur Sarys
Dalmil Varen
Dalnorea Arvel
Dalos Golathyn
Dals Sadri
Dalse Adren
Dalvus Helothran
Dalyne Arvel
Danar Dalomo
Danaronea Daryon
Danasi Ralen
Dandera Selaro
Dandras Vules
Dandynea Rothalen
Danel Indaren
Danoso Andrano
Danso Indules
Daral Thireloth
Darane Mencele
Daras Aryon
Daren Adryn
Dareru Omalas
Daris Adram
Darns Tedalen
Daroder Helni
Daroso Sethri
Dartis Dreleth
Darvala Romothran
Darvam Hlaren
Darvame Hleran
Darvasa Vedas
Darvynea Hleran
Daryn Vedralu
Dather Manel
Dathus Selvilo
Davas Aralas
Davis Nelaram
Davur Githendas
Daynali Dren
Daynas Darys
Daynasa Telandas
Daynasa Tharen
Daynes Redothril
Daynil Farandas
Daynila Andrano
Daynila Valas
Daynillo Lleran
Deldasa Thirandus
Deldrise Andoren
Delmene Helas
Delmon Famori
Delmus Rurvyn
Delte Fyr
Delvam Andarys
Delyna Mandas
Derar Hlervu
Deras Girando
Derayna Llervu
Dethresa Saren
Deval Beleth
Devas Irano
Dilami Androm
Dileno Lloran
Dils Heladren
Dilvene Venim
Dinara Othrelas
Dinere Hlen
Dinor Thilandas
Dinuro Ienith
Diradeni Farano
Dirara Drom
Diren Vendu
Direr Arano
Direr Velendas
Dirver Relas
Dissu Ashalkimallit
Divayth Fyr
Dolmesa Sarano
Dolmyn Thirelas
Dolsa Gilvani
Dolvasie Veloren
Dolyn Rols
Domesea Sarethi
Dondos Driler
Donus Serethi
Dorisa Darvel
Dorynu Verendas
Dothasi Mothryon
Dovor Oren
Dovres Verethi
Dovrosi Varyon
Dralas Gilu
Dralasa Nithryon
Dralisi Ienith
Dralora Favelnim
Dralosa Athren
Dralsea Arethi
Dralval Andrano
Dram Bero
Dramis Maryon
Dranas Dradas
Dranas Sarathram
Drandryn Omoran
Dranos Sandus
Draramu Hloran
Drarayne Girith
Drarayne Thelas
Drarel Andus
Draren Thiralas
Draron Benelas
Drarus Berano
Draryn Andrano
Drathas Nerus
Drathas Reyas
Drathyn Andavel
Dravasa Andrethi's
Dravil Indrano
Dravil Omavel
Dravynea Fatheran
Dredase Arvel
Dredyni Salvani
Drelasa Ramothran
Drelayn Dredayn
Drelis Ondyn
Drelse Dralor
Drelyne Llenim
Drendrisa Fareloth
Drerel Indaren
Dreveni Hlaren
Dreynis Nothro
Dreynos Elvul
Dreyns Nelas
Dreyns Telmon
Dridas Salvani
Dridyn Berethi
Drilame Githrano
Driloru Uvaram
Drinar Varyon
Drireri Berano
Drodos Galen
Drolora Salen
Dronos Llervu
Drorayni Tharam
Drores Arvel
Drulene Falen
Drulvan Rindo
Drurile Valaai
Duldrar Saren
Duldresi Senim
Dulnea Ralaal
Dun-Ilu Assurnumausur
Dunel Saryon
Edras Oril
Edril Vules
Edryno Arethi
Elam Andas
Eldil Bradyn
Eldrar Fathyron
Eldrasea Helas
Eldrilu Dalen
Elethus Tobor
Elibael Puntumisun
Elitlaya Assonirishpal
Elmera Verethi
Elms Llervu
Elmussa Damori
Elo Arethan
Elumabi Maliiran
Elvas Savel
Elvasea Thalas
Elvil Vidron
Elynea Norvayn
Elynu Saren
Enar Dralor
Enar Releth
Endar Drenim
Endase Avel
Endris Dilmyn
Endroni Dalas
Endryn Llethan
Endul Rothandus
Eno Hlaalu
Eno Romari
Eralane Hledas
Erene Llenim
Erer Darothril
Ereven Velas
Erirvase Drinith
Eris Telas
Ernil Omoran
Erns Maren
Ernse Llervu
Ervas Aradil
Ervesa Romandas
Ervis Ules
Ervis Verano
Ervona Barys
Ervyna Hlervu
Esar-Don Dunsamsi
Esib-Nummu Assunudadnud
Ethal Seloth
Ethasi Rilvayn
Ethes Evos
Ethys Savil
Evesa Omalas
Evilu Indrano
Evo Othreloth
Evos Goran
Fadase Selvayn
Fadile Balvel
Fadren Dalis
Falam Hlaalu
Falanu Indaren
Falena Hlaren
Falso Sadrys
Falura Llervu
Falvel Arenim
Falvis Tunel
Fanasa Ienith
Fanisea Irano
Fanuse Farano
Faral Retheran
Faralenu Henim
Farare Othril
Faras Thirano
Farena Arelas
Farusea Salas
Farvam Faram
Farvyn Oreyn
Fathasa Llethri
Fathusa Girethi
Favani Faryon
Favas Nilem
Favel Gobor
Favela Dralor
Faven Arns
Faver Seran
Faves Andas
Favilea Sathendas
Favise Selaren
Favona Gilnith
Fedar Davus
Fedris Hler
Fedris Tharen
Fedura Sethan
Felara Andrethi
Felara Thimalvel
Felayn Andral
Feldrelo Sadri
Felen Maryon
Felisa Ulessen
Felisi Serano
Felmena Falavel
Felsa Hleran
Felsu Telas
Felvan Ienith
Felvos Droryn
Femer Veralor
Fendel Alam
Fendel Hlaren
Fendros Varys
Fendryn Delvi
Feralea Ramori
Feranos Hlando
Ferele Athram
Ferise Varo
Ferone Veran
Feruren Oran
Fervas Reloro
Fervsea Girothran
Ferynu Indrano
Fevasa Saryon
Fevila Bethrano
Fevris Senoril
Fevus Aryon
Fevyn Ralen
Folms Mirel
Folsi Thendas
Folvalie Omalor
Folvys Andalor
Folyni Dran
Fomesa Tharys
Fonari Indaren
Fonas Retheran
Fons Beren
Fonus Rathryon
Forven Berano
Forvse Nerethi
Foryn Gilnith
Fothas Thirandus
Foves Arenim
Fovus Faravel
Gadasu Serothan
Gadayn Andarys
Gadela Andus
Gaden Folvyn
Gaden Llarys
Gadyni Rethan
Galam Llendu
Galar Baren
Galar Rothan
Galas Drenim
Galasa Uvayn
Galdal Omayn
Galdres Ienith
Galen Berer
Galeri Uveleth
Galero Andaram
Galis Seleth
Galmis Dren
Galms Seles
Galore Salvi
Galos Farethi
Galos Mathendis
Gals Arethi
Galsa Andrano
Galsa Gindu
Galsu Tedas
Galtis Guvron
Galtis Serethi
Galuro Belan
Galvene Othrobar
Galviso Heran
Galyn Arvel
Gamin Girith
Ganalyn Saram
Gandela Indoran
Gandosa Arobar
Ganus Lloryn
Garalo Andalas
Garas Seloth
