# Dark Elf Female NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Aalmu Hlaryneth | tr
Aalmu Ouradas | tr
Aamunu Aduran | tr
Aanela Llethre | tr
Aaneth Felovil | tr
Aarela Sendu | tr
Abaalu Essurdan | tr
Aberu Hlaalu | tr
Adasi Furon | tr
Addut-Khad Senub | tr
Adetha Beravyn | tr
Adosi Athones | tr
Adosi Rothari | tr
Adrela Nethril | tr
Adresu Tharys | tr
Adroso Andalas | tr
Adrusu Rorvam | tr
Adrusu Rothrano | vanilla
Adrusu Sala | tr
Adura Indalas | tr
Aduri Drevon | tr
Aduri Nervayn | tr
Adusamsi Assurnarairan | vanilla
Aeli Danym | tr
Aelis Adryn | tr
Aeyne Redothril | tr
Ahanabi Assullinbanud | vanilla
Ainat Arinith | tr
Alami Sarandas | tr
Alamin Neron | tr
Alarvyne Indalas | vanilla
Alasha Kori | tr
Alavesa Fadas | tr
Alavesa Samori | vanilla
Alavi Arendus | tr
Alavyne Dralas | tr
Aldyna Delms | tr
Aldyne Arenim | vanilla
Aldyne Halvan | tr
Aldyni Veran | tr
Aleni Moryon | tr
Alenus Vendu | vanilla
Alenym Sadas | tr
Aleri Duro | vanilla
Alfe Fyr | vanilla
Alia Neru | tr
Aliah Saryni | tr
Alira Yassimaer | tr
Alivusa Ginith | tr
Almara Llothro | tr
Almise Andrelo | tr
Almse Arenim | vanilla
Almse Ramaran | tr
Almse Thirvayn | tr
Almsi Arvel | tr
Almsi Oren | vanilla
Aloie Falen | tr
Aloie Indaram | vanilla
Alonisea Varys | vanilla
Alrysa Faali | tr
Aluna Drethi | tr
Alune Vesuri | tr
Alurami Sarvayn | tr
Alurue Saryon | vanilla
Alvana Dorelo | tr
Alvela Saram | vanilla
Alveno Andules | vanilla
Alvenu Llaren | tr
Alvera Sandrethu | tr
Alvesi Urvon | tr
Alvu Sareleth | tr
Alvura Hleran | tr
Alvura Othrenim | vanilla
Alvuru Omayn | tr
Alvynu Llervas | tr
Alynu Andrani | tr
Alynu Aralen | vanilla
Alynu Erylath | tr
Alynu Radrin | tr
Amata Ahassunu | tr
Amili Llaram | vanilla
Amili Savil | tr
Ammu Arvethi | tr
Ammu Silathran | tr
Amunala Llanteris | tr
Anara Marvus | tr
Anara Medri | tr
Andalin Hardil | vanilla
Andela Thelvyn | tr
Andera Ethas | tr
Andila Nerus | tr
Andilo Thelas | vanilla
Andilu Drothan | vanilla
Andilu Ornovl | tr
Andosa Berer | tr
Andresa Volyn | tr
Andresi Tuls | tr
Ane Teria | vanilla
Anila Bereleth | tr
Anis Sadalas | tr
Anis Seloth | vanilla
Anisa Viri | tr
Anise Delms | tr
Anise Drinith | tr
Anise Romoran | vanilla
Anise Savil | tr
Annavene Selas | tr
Ansu Senatbael | vanilla
Antu Assarrimisun | vanilla
Anunsi Eshunud | tr
Aralosea Romori | vanilla
Aransi Ravenar | tr
Aranu Merethi | tr
Aranynne Llaram | tr
Arara Navur | tr
Arara Uvulas | vanilla
Ararvy Hlaren | tr
Areni Hahnim | tr
Areno Varo | tr
Arenu Llothan | tr
Aresu Dralyn | tr
Arisa Llathril | tr
Arns Saren | vanilla
Arnsa Braven | tr
Arnsi Nerandas | vanilla
Arteru Mavandes | tr
Artisa Arelas | vanilla
Artisa Dulo | tr
Artisa Rethan | tr
Artisa Seran | tr
Arva Nervani | tr
Arvama Rathri | vanilla
Arvamea Dalvani | vanilla
Arvela Areth | tr
Arvela Falas | vanilla
Arvela Saren | tr
Arvena Veldyn | tr
Arvena Verelnim | tr
Arvso Neru | tr
Arvso Tharen | vanilla
Aryne Llaram | tr
Aryne Telnim | vanilla
Aryni Orethi | vanilla
Arynu Veleth | tr
Asani Serdimapal | tr
Asha-tara Undunbael | tr
Asharapli Almu | vanilla
Ashumanu Eraishah | vanilla
Ashvubabi Bishmalkit | tr
Assamanu Shashipal | vanilla
Assi Serimilk | vanilla
Assimusa Samsi | vanilla
Assirari Zama-Rasour | vanilla
Assumanu Mantiti | vanilla
Ataharsu Sibittibael | tr
Athesie Andas | vanilla
Athesie Gimalvel | tr
Athrasa Sarothran | tr
Athusa Gelvendu | tr
Aure Salvani | tr
Avala Garvas | tr
Avena Ildres | tr
Avoni Dren | vanilla
Avrusa Bedas | tr
Baba Harishi | tr
Badala Velothren | vanilla
Badama Andarys | vanilla
Badami Sathis | tr
Badami Thindo | tr
Bala Dralor | tr
Bala Elarven | tr
Balane Delythran | tr
Balen Vendu | vanilla
Baleni Salavel | vanilla
Balensi Marthys | tr
Balsa Braryn | tr
Balsa Girith | vanilla
Balvene Uvayn | tr
Balveni Fetheran | tr
Balveni Nireth | tr
Balvu Talnarith | tr
Balynu Teran | vanilla
Baren Dralos | tr
Barsara Silyon | tr
Bavisa Othreleth | tr
Beashabi Veladdu | tr
Bedene Merys | tr
Bedenea Elvul | tr
Bedenea Miral | tr
Bedenea Nethan | vanilla
Bedenea Ules | tr
Bedisa Indaram | tr
Bedynea Gimalvel | vanilla
Behra Alduthri | tr
Belam Menaro | tr
Belas Kasihan | tr
Belashu Kels | tr
Beldrose Samori | tr
Belera Veran | tr
Beleru Dalen | tr
Beleru Hledri | vanilla
Beleru Valas | tr
Belitha Neru | tr
Belsa Merobar | tr
Belsu Rithnim | tr
Belya Muendil | tr
Benam Llithre | tr
Benisa Uvelen | tr
Benudni Ilurnubishpal | vanilla
Bera Famori | tr
Berada Selethran | tr
Berapli Ashumallit | vanilla
Berari Gavon | tr
Beraru Nethren | tr
Berasli Ibardan | tr
Berona Savani | tr
Berossu Morvayn | tr
Beru Vesuri | tr
Berysa Farvel | tr
Bethyl Golvas | tr
Bevasea Thareloth | tr
Bevene Releth | vanilla
Bevra Othreleth | tr
Beyren Darothril | tr
Beyte Fyr | vanilla
Bidsi Gilvayn | vanilla
Bidsi Omathi | tr
Bidsi Vidryon | tr
Bilare Armunith | tr
Bilderu Raran | tr
Bilen Uvani | tr
Bileru Veren | tr
Bili Yatherenammu | tr
Bilsa Barus | tr
Bilsa Virian | tr
Bilu Dradas | tr
Binayne Maren | tr
Birama Andaram | vanilla
Bisaya Hashinara | tr
Bisindre Ondele | tr
Bivale Teneran | vanilla
Blivisi Tero | tr
Boderi Farano | vanilla
Boderi Ulen | tr
Bodisa Uvaram | tr
Bodsa Nothryon | vanilla
Boldrisa Andrano | vanilla
Bolnora Maryon | tr
Bolnora Omani | tr
Bolvynu Elvul | tr
Bolyna Llothas | tr
Bothrel Samori | tr
Bralani Faravel | tr
Bralor Tarethi | tr
Bralsea Fererus | tr
Bralsea Horaren | tr
Bralsea Sarem | tr
Bralsea Seloth | vanilla
Bralsi Herethran | tr
Bralsie Faveran | tr
Bralyn Sidrethi | tr
Branasa Tirvesu | tr
Bravora Relavel | vanilla
Bravora Tharvi | tr
Bredasu Gilaram | vanilla
Brelayne Verano | vanilla
Brelda Quintella | vanilla
Brelyna Andoril | vanilla
Brelyna Helothan | tr
Brelyna Saran | tr
Brelyna Thindo | tr
Brenosi Zuldassur | tr
Brerayne Raloran | vanilla
Brevales Girano | tr
Brevasu Heran | vanilla
Brevosi Droryn | tr
Brevosi Indalen | vanilla
Breyis Hallam | tr
Brildraso Nethan | vanilla
Brilnosu Llarys | vanilla
Brinda Vorenis | tr
Bronosa Nedalor | vanilla
Burasi Daeus | tr
Byla Omoril | tr
Byla Salobar | tr
Byla Vedralu | tr
Bythelu Tyravel | tr
Candalin Tendas | tr
Captain Galisa | tr
Carani Sadri | tr
Cariana Sadri | tr
Celura Mathon | tr
Chavana Emalur | tr
Cheli Llarethi | tr
Chezhabi Anuransat | tr
Daela Sendu | tr
Dala Aralen | tr
Dalame Salerath | tr
Dalami Bethrarvel | tr
Dalami Hlaalu | vanilla
Dalami Ondos | tr
Dalaso Dundras | tr
Dalaso Salin | tr
Dalave Andalara | tr
Dalave Rathas | tr
Dalave Reni | tr
Dalave Romori | tr
Dalave Varen | tr
Dalayne Teran | tr
Dalia Modril | tr
Dalin Andrano | tr
Dalivis Farni | tr
Dalnorea Arvel | vanilla
Dalsa Naran | tr
Dalse Adren | vanilla
Dalse Seles | tr
Dalsie Eulorius | tr
Dalyne Arvel | vanilla
Dalyne Elval | tr
Dalyne Henim | tr
Dalyne Maryon | tr
Dalyne Nithri | tr
Damath Garano | tr
Danala Meroth | tr
