# Dark Elf Male NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Aamunos Rolvar | tr
Aanem Tirith | tr
Aaran Dralas | tr
Aarlen Lleranoth | tr
Abaalalk Manammu | tr
Ababael Timsar-Dadisun | vanilla
Abael Thelas | tr
Abarrys Tervayn | tr
Abarrys Undemri | tr
Abassel Asserbassalit | vanilla
Abibaal Assillariran | vanilla
Abishpulu Shand | vanilla
Adairan Lalansour | vanilla
Adairan Llerayn | tr
Adaishah Ahanidiran | vanilla
Adas Sarys | tr
Adavas Faryon | tr
Adaves Onasi | tr
Adaves Oran | tr
Adaves Relvenim | tr
Adaves Therayn | vanilla
Addamarys Saldro | tr
Addarnat Assardidairan | vanilla
Ademnal Lleryn | tr
Adibael Hainnabibi | vanilla
Adil Norvayn | vanilla
Adol Sedarys | tr
Adon Hlavel | tr
Adondasi Sadalvel | vanilla
Adosi Biran | tr
Adosi Darano | vanilla
Adosi Venith | tr
Adovan Sathus | tr
Adralan Maralvel | tr
Adram Gidan | tr
Adren Alari | tr
Adren Sendu | tr
Adrend Salas | tr
Adrosu Balmayn | tr
Adryn Seloth | tr
Adyn Tamis | tr
Afnil Dremas | tr
Ahanab Sendu | tr
Ahasou Saravyn | tr
Ainab Guls | tr
Ainab Yassabisun | vanilla
Ainat Maessabibi | vanilla
Ainat Vesuri | tr
Aketh Tarys | tr
Akser Arobar | tr
Alam Indalor | tr
Alam Relvani | tr
Alamdos Nilves | tr
Alammu Llethri | tr
Alammu Rindo | tr
Alammu Saravyn | tr
Alammu Vandalas | tr
Alandro Sul | tr
Alanil Llaram | vanilla
Alanil Veri | tr
Alarel Falis | tr
Alath Andarys | tr
Alaud Uveran | tr
Aldam Feravel | tr
Aldam Ulan | tr
Aldos Dreloth | tr
Aldros Sendan | tr
Aldryn Othreleth | tr
Aldryn Sedarys | tr
Aldryn Vamori | tr
Alds Baro | vanilla
Alds Tharyon | tr
Aldsroi Llerani | tr
Allasi Enduren | tr
Almere Berothi | tr
Almere Llerarys | tr
Alms Helothren | vanilla
Almus Drom | tr
Alnas Driln | tr
Alnas Sendu | vanilla
Als Bavani | tr
Altis Dalvilu | tr
Alv Llethros | tr
Alval Talnarith | tr
Alvan Indrano | tr
Alven Arovyn | tr
Alven Hlen | tr
Alven Ieneth | tr
Alven Salas | vanilla
Alven Sarys | tr
Alvis Teri | vanilla
Alvis Umarel | tr
Alvon Releth | tr
Alvor Andas | vanilla
Alvor Vendu | tr
Alvos Sadri | vanilla
Alvril Ralinith | tr
Alvs Balur | tr
Alvur Hleran | vanilla
Alvur Nirano | tr
Alvur Omaril | tr
Alvuro Reloth | tr
Alvys Teloth | tr
Amanil Gratis | tr
Ambatisi Gathrel | tr
Amil Othranis | tr
Amil Vedaren | tr
Amis Salas | tr
Amos Inryon | tr
Amyon Salas | tr
Anas Ulven | vanilla
Anasour Selitbael | vanilla
Anat Ezhar-Haddi | tr
Anbarys Irathi | tr
Anbarys Sadras | tr
Andar Galen | tr
Andel Gilnam | tr
Anden Suth | tr
Anden Thilarvel | vanilla
Anderyn Lloran | tr
Andilo Vadryon | tr
Andor Orothi | tr
Andor Surathi | tr
Andoren Beleth | tr
Andrelo Giravel | tr
Andreran Morath | tr
Andres Hlaalo | tr
Andres Relaran | tr
Andres Samoran | tr
Andril Beloren | tr
Andril Othran | vanilla
Andril Selothi | tr
Andril Silvin | tr
Andrin Vari | tr
Androvel Nalthran | tr
Andyn Modras | tr
Anel Ralaal | tr
Anel Rathri | tr
Anel Rethelas | vanilla
Anen Llerothren | tr
Anes Hlaren | vanilla
Anes Vendu | vanilla
Angon Sadas | tr
Anit Eramarellaku | vanilla
Ankhul Theradin | tr
Anleth Farandas | tr
Ano Andaram | vanilla
Ano Anderin | tr
Ano Beneroth | tr
Ano Dran | vanilla
Ano Dreloth | tr
Ano Forondas | tr
Ano Moryn | tr
Ano Vando | vanilla
Anral Arvel | tr
Anral Brenur | tr
Ansaru Desethi | tr
Ansat Ashulk | tr
Ansuma Veloth | tr
Antden Salor | tr
Antonius Rato | tr
Anur Eretan | tr
Aralor Theralas | tr
Aralys Valno | tr
Aran Maritas | tr
Aran Methis | tr
Ararvy Arelas | tr
Ararvyne Saram | tr
Ararvyne Senim | tr
Aras Badryon | tr
Aras Girendas | vanilla
Aras Othran | tr
Aravyn Telonys | tr
Aravyr Orethera | tr
Ardraler Baryon | tr
Ardraler Felrano | tr
Ardur Salvendu | tr
Arel Ginith | tr
Arelis Lloran | tr
Arelvam Hloren | tr
Arelvam Sadrano | vanilla
Arelvis Tekvim | tr
Aren Llothos | tr
Aren Maren | vanilla
Aren Oleroth | tr
Aren Sinn | tr
Aren Tano | tr
Arenar Talanian | tr
Aresthi Brendu | tr
Areth Devulas | tr
Areth Morvayn | tr
Arethan Mandas | vanilla
Arethro Giland | tr
Argo Hlon | tr
Aril Belereth | tr
Aris Barethren | tr
Aris Dreleth | tr
Aris Melden | tr
Aris Tharen | tr
Armas Tyravel | tr
Arnem Tharonen | tr
Arns Uvalas | vanilla
Arnys Manel | tr
Aro Helseri | tr
Aroa Nethalen | vanilla
Aron Andaren | vanilla
Aron Nilvas | tr
Arsyn Omathan | tr
Arsyn Salas | vanilla
Arthal Eindari | tr
Artham Ralvos | tr
Arthon Omavel | tr
Arval Thelas | tr
Arven Nalyn | vanilla
Arver Althrom | tr
Arver Rethul | vanilla
Arvil Drothas | tr
Arvil Sethas | tr
Arvs Raram | vanilla
Arvs Reladren | tr
Arvs Rethrathi | tr
Arvs Themyn | tr
Arvur Darothil | tr
Arvusi Odrith | tr
Arvyn Benelas | tr
Arvyn Girvu | tr
Arvyn Llerayn | vanilla
Arvyys Samarelo | tr
Aryni Thando | tr
Arys Llado | tr
Asha-Ammu Kutebani | vanilla
Ashulalk Maelraris | tr
Ashuma-Nud Matluberib | vanilla
Assallit Assunbahanammu | vanilla
Assamanut Sonnerralit | vanilla
Assamat Nashapal | tr
Assamat Zabynat | tr
Assantus Hansar | vanilla
Assatlit Assudnilamat | vanilla
Assemmus Leddas | tr
Assemmus Todros | tr
Assurdan Serdimapal | vanilla
Athal Drath | tr
Athal Farethi | tr
Athal Nerano | vanilla
Athanden Girith | vanilla
Athando Andas | tr
Athando Sarvayn | tr
Athas Fendyn | tr
Athasor Hlane | tr
Athelyn Savil | tr
Athenim Adri | tr
Ather Belden | vanilla
Ather Gelvilo | tr
Ather-Adda Sunakar | tr
Atherios Adirion | tr
Athires Hlaalu | tr
Athones Llendo | tr
Athras Volor | tr
Athrelos Guralin | tr
Athryn Llendo | tr
Athyn Favelnim | tr
Athyn Sarethi | vanilla
Atran Oran | tr
Atreno Drenim | tr
Atriban Deras | tr
Aval Beldas | tr
Aval Soldani | tr
Avon Hlaalu | tr
Avon Ravel | vanilla
Avos Arval | tr
Avron Gols | vanilla
Avus Belvilo | vanilla
Azariah Thelas | tr
Azarien Ulimal | tr
Babzu Handel | tr
Badal Andules | tr
Baden Indanis | tr
Bal Gernak | tr
Baladar Viri | tr
Baladas Demnevanni | vanilla
Balamus Arthre | tr
Balamus Hlerayn | tr
Balamus Rendays | tr
Balden Melanan | tr
Baldor Selandas | tr
Balen Andrano | vanilla
Balen Romayen | tr
Balen Sedrethi | vanilla
Balis Adu | tr
Balis Favani | vanilla
Balis Gurin | tr
Balis Indoran | tr
Balis Sari | vanilla
Balmus Borovel | tr
Balonas Nothro | tr
Balur Salvu | vanilla
Balur Seldrano | tr
Balver Sarethan | vanilla
Balves Selonith | tr
Balvo Nothryon | tr
Balvyn Ivilno | tr
Balvys Malas | tr
Balyn Gimalvel | tr
Balyn Ilvenes | tr
Balyn Moren | tr
Balyn Omavel | vanilla
Balynor Erothryn | tr
Banden Indarys | vanilla
Banneb Yinnael | tr
Banor Nerus | tr
Banor Seran | vanilla
Baram Hlervi | tr
Barandas Dalveni | tr
Barandas Marvus | tr
Barano Lleras | tr
Baren Alen | vanilla
Baren Prenammu | tr
Baren Teri | tr
Barensi Hleras | tr
Baris the Diver | tr
Barmena Lletrith | tr
Barmir Nelothril | tr
Barsalbaal Mawia | tr
Barusi Fareleth | tr
Barusi Venim | vanilla
Barusol Hlaram | tr
Basu Edralo | tr
Bedal Maryndo | tr
Bedal Velren | tr
Bedaves Indaram | tr
Bedaves Sarothril | tr
Beden Giladren | vanilla
Bedras Fels | tr
Beivis Ulom | tr
Belandras Rathryon | tr
Belas Dralam | tr
Belas Othren | vanilla
Belas Thendas | tr
Beldar Jerel | tr
Beldros Rethelius | tr
Beldrose Dralor | vanilla
Beldun Lliral | tr
Beledas Lluthril | tr
Beledas Raalthren | tr
Beledas Telvorys | tr
Beledas Vaneri | tr
Belnar Sadas | tr
Belor Vanniran | tr
Belos Falos | vanilla
Belos Gilvani | tr
Belron Hlaalu | tr
Belron Hlando | tr
Bels Valor | tr
Belvin Uvalas | tr
Belvis Darethran | tr
Belvis Sedri | vanilla
Belyn Oloth | tr
Benar Neleth | vanilla
Beneren Balen | tr
Benvan Gurilo | tr
Beran Andalen | tr
Beraren Milith | tr
Beraren Sadri | vanilla
Berayl Malvar | tr
Berel Gildreth | tr
Berel Sala | vanilla
Berela Andrano | vanilla
Bereldas Rurvyn | tr
Berethen Olameth | tr
Berol Adavrin | tr
Berol Delteren | tr
Beron Fareloth | tr
Beron Omoran | tr
Beron Tharyon | tr
Beros Athenim | tr
Bertis Uvani | vanilla
Bervaso Drorim | tr
Bervaso Thenim | vanilla
Bervyn Andus | tr
Bervyn Lleryn | vanilla
Bervyn Tharam | tr
Bethes Sarothril | vanilla
Bevadar Bels | vanilla
Bevadar Oren | tr
Bevenvas Seloth | tr
Bevros Sendin | tr
Bevyne Drel | tr
Bildam Danoran | tr
Bildren Areleth | vanilla
Bildren Llavos | tr
Bildren Nerothan | tr
Bilen Delyn | tr
Bilen Sevlor | tr
Bilen Velothril | vanilla
Bilos Andrethi | vanilla
Bilos Farethi | tr
Bilos Telsaran | tr
Bilos Velni | tr
Binan Andres | tr
Birer Indaram | vanilla
Birer Seloben | tr
Boden Fyryn | tr
Bodsa Andas | tr
Bol Salvani | tr
Bola Rervam | tr
Bola Teloth | tr
Bolayn Forondas | tr
Bolayn Rethan | vanilla
Boler Bandas | vanilla
Boleth Alar | tr
Bolner Orlas | tr
Bolnor Andrani | vanilla
Bolnor Selvilo | tr
Bolor Sathendas | tr
Bols Heryon | tr
Bols Naroth | tr
Bols Ulven | tr
Bols Vyrethinenim | tr
Bolvin Virenith | tr
Bolvus Ieneth | vanilla
Bolvus Nadrys | tr
Bolvyn Avel | tr
Bolvyn Bandu | tr
Bolvyn Venim | vanilla
Bolyn Elval | vanilla
Bolyn Sarethan | tr
Bolyn Sothran | tr
Bordris Elsethi | tr
Borvas Dobar | tr
Boryl Rendas | tr
Boryn Farlas | tr
Boryn Fels | tr
Boryn Varen | vanilla
Borynil Althranis | tr
Bothus Drals | tr
Bovis Giralvel | tr
Bovoril Drin | tr
Bradas Grothilas | tr
Bradas Nethrendes | tr
Bradas Salvu | tr
Bradas Tharen | tr
Bradas Varyon | tr
Bradasou Alendu | tr
Bradasou Gilvani | tr
Bradasou Rethre | tr
Bradasou Tedas | tr
Bradil Elarven | vanilla
Bradli Arvil | tr
Bradys Hlaalo | tr
Bralas Mels | vanilla
Braler Velev | tr
Bralis Seralas | vanilla
Bralos Sadari | tr
Bralyn Androthi | vanilla
Brandir Zabaal | tr
Branys Mervayan | tr
Brarayni Sarys | vanilla
