# Imperial full names from Project Cyrodiil
# Used for duplicate checking

Accius Emnor
Acilius Hosidius
Adalaise Evicus
Adonnis Catraso
Adriana Lencia
Aemilia Torquatus
Aerelia Decius
Aetia Nemesia
Agastulus Anasius
Agdistrius Rictor
Alanius Calatus
Alcedo Nirol
Alcus Pirilo
Aldrianus Drusus
Alia Jural
Alius Flagius
Allia Aberus
Alostian Galulus
Ambrosia Hegetor
Amelina Cornelia
Amelphia Tarramon
Amia Otticus
Amiliano Issaeian
Amores Letia
Anatolius Datus
Andrea Loria
Andron Torrantis
Angalius Olus
Annia Libo
Antigone Calathes
Antonia Fidenas
Antonius Machias
Apelles Mero
Aphia Messinia
Aphorva Cnistula
Apphia Calanius
Appius Lerus
Apronia Catorius
Arachnia Armix
Aramius Marolus
Araphemia Istrix
Arcadus Dugulus
Arcturus Pilus
Arcturus Tragus
Areanne Vara
Arenar Dorarus
Aria Ioclania
Arius Mento
Arlanis Sertius
Arlo Ajaxus
Arnora Conician
Arnos Clatian
Artorius Nux
Asius Tarlo
Asphobos Soanix
Asta Pelius
Astius Claenia
Atacia Mucio
Atilius Celucian
Atria Vostrius
Attia Saradelphin
Attocios Phiallos
Attrebus Ayonis
Auctinius Voteporix
Audania Ranius
Audeius Vitellie
Augusta Vantinius
Auiphion Melanus
Aurelia Draconis
Aurelia Ordo
Avelia Dacian
Aventina Gallenus
Averio Castorius
Avita Atratinus
Bacola Delius
Bacola Herennius
Balbinus Nervax
Balicius Coloni
Banvira Auctoria
Barabus Inclodios
Barbea Ceno
Barilus Qhyre
Barirrid Popillius
Barlovius Vex
Baro Kelaius
Belisatha Mede
Bellisa Dacia
Bennus Vadius
Boleas Gurius
Bonnius Velvus
Bossman Colennus
Braccia Consilia
Brallus Mele
Bravilo Julianian
Brintia Minus
Britta Philidus
Bruscus Salivarus
Caccia Artoria
Caccian Famula
Caccius Maximus
Cadessa Vadion
Caecalia Victrix
Caecilia Evicus
Caedan Jorval
Caeva Jacronix
Caius Milacio
Cala Decodorius
Calsa Attius
Calvus Bursio
Camillia Chora
Cania Vitellie
Canicia Casca
Cantorius Tramel
Cap'n Fentus
Capia Hegeteria
Cares Richton
Carila Cacian
Cariyn Sepucia
Carmana Scerius
Carolia Vulso
Carolos Lucianus
Caros Cocceius
Cartil Florius
Carva Hertia
Carvera Tido
Casse Atrius
Cassus Pertorius
Cassynderia Lys
Catru Mettilan
Cealunia Pastoris
Cedus Aponian
Celia Dartanis
Celina Russus
Celix Verius
Cerania Reberius
Cervius Veris
Cervo Cantaber
Cheyda Cadusia
Chiara Auruncula
Chorrav Harmitus
Cidius Callei
Cinda Mino
Cinda Pelelius
Cinia Andacia
Circus Leonos
Cireri Bradus
Cirius Undan
Cirrus Terius
Clavus Farragian
Clepitus Mados
Clibergus Celata
Clivius Corruvian
Cocius Matius
Coladia Nelus
Collatinus Vevus
Comilla Rotilia
Constantine Mentorus
Corand Jorus
Cordo Torcusius
Cornelius Leander
Cornelius Sympsus
Cornelius Vulpo
Cornexius Hantav
Corovan Telios
Corridus Picola
Cortos Tardion
Corudus Vaterian
Corvia Sansalas
Corvo Melurus
Cosimus Attero
Crassi Conciatius
Creto Deselus
Crisator Drapula
Crito Vinipter
Crotobar Plebo
Crovesius Denian
Crulius Furotius
Cunus Pompus
Curo Marinus
Cyria Bachand
Cyria Flavius
Cyrtus Clagno
Daeria Vucinia
Dalsotor Angaurius
Dariem Callius
Darius Cedus
Darius Maximius
Darius Regulius
Darnell Lorrellus
Darran Flavius
Dax Soranus
Decanus Pictor
Decimia Arcafex
Demetrius Muntian
Desinus Verius
Desis Carantinus
Desolvus Andecis
Domican Vitresius
Domus Terrinus
Dorisola Laera
Draco Ladonovius
Drusilla Farragian
Dulcitius Cullian
Dundius Abelius
Durmania Hosidus
Dyanna Ishmar
Dyus Rilian
Eirena Dione
Elatius Nistrius
Elia Avacian
Elissia Barraviil
Eltia Coralex
Emelia Vicici
Emercius Ludoviil
Emmeria Nelis
Emmon Jucanis
Emphalia Auriil
Enix Caripus
Ennodius Caro
Ensalda Lacinius
Entosaro Tanian
Ephaie Calicca
Erarius Verenius
Eririda Vendidus
Ernaia Gelsus
Ertius Artoria
Esetolia Monci
Etrio Cranstho
Eulix Festius
Eulux Balinius
Exemplar Andronicus
Fabius Varian
Fagus Dorso
Falcius Sosia
Falo Jarontus
Falx Smitius
Fantia Loratia
Faustus Cicero
Felanius Civeran
Felixia Talanian
Ferdogest Ronator
Feristyr Lucinius
Fila Artoria
Flaccus Clodanian
Flavius Celto
Floens Vutelius
Flora Mamercino
Flortus Ancyla
Flyrus Ionus
Foedus Locutius
Forcanus Laterius
Fortunata Valius
Frascia Jandacia
Friela Antoni
Fulmenia Crassian
Fusius Mulerus
Gaius Pepander
Gaius Salinus
Galabrio Crurinus
Galadius Rumariil
Galan Brandt
Galantra Sillo
Gallo Peranius
Gallus Macer
Galvus Pottreid
Garius Rulo
Garrulus Meril
Garrus Mellorus
Garus Barinius
Gebeon Estollius
Gemma Pasaennius
Gena Varo
General Casik
Geralt Tulius
Gerardus Tilianus
Gerus Sottius
Getrula Merosiar
Giacinia Andelius
Gilara Renus
Ginevra Castorian
Glaucia Rumariil
