# Imperial full names from Project Cyrodiil
# Used for duplicate checking

Adraria Vandacia
Aebondeius Jucanis
Afer Flaccus
Agrippina Herennia
Ahetotis Furotis
Albecius Colollius
Alcedonia Amnis
Allian Carbo
Antonius Nuncius
Apelles Matius
Apronia Alfena
Ariulcabor Leontiulonus
Arius Rulician
Arrinis Cerunia
Astius Hanotepelus
Attelivupis Catius
Audania Afronia
Audenian Valius
Augurius Sialius
Aunius Autrus
Bacola Closcius
Baro Egnatius
Benunius Agrudilius
Blatta Hateria
Boss Crito
Burcanius Varo
Caccian Hers
Caius Cosades
Calvus Horatius
Canctunian Ponius
Cania Mico
Canodia Felannus
Capiton Popillius
Carnius Magius
Cassius Olcinius
Catia Sosia
Cavortius Albuttian
Cidius Caro
Cimber Valerius
Cinia Urtius
Clagius Clanler
Clecentor Aerius
Clibergus Urgelian
Clilias Pullia
Cocistian Quaspus
Codus Callonus
Coirtene Liore
Constans Atrius
Corrudus Secunia
Coventina Celata
Craetia Jullalian
Crassius Curio
Crito Olcinius
Crottus Cedus
Crulius Pontanian
Cunius Pelelius
Depusanis Denian
Drusus Gratus
Dunius Valodius
Durus Marius
Duvianus Platorius
Emelia Duronia
Eponis Vinipter
Ertius Fulbenus
Esdrufus Harsinia
Falco Galenus
Fandus Puruseius
Fentula Pevengius
Flacassia Fauseius
Flaenia Amiulusus
Fralvia Sibassius
Frinnius Posuceius
Fruscia Abitius
Furius Acilius
Gaea Artoria
Ganciele Douar
Glallian Maraennius
Gratian Caerellius
Gualtierus Spurius
Hasphat Antabolis
Horulia Jannus
Idonea Munia
Ignatius Flaccus
Ilnori Faustus
Iratian Albarnian
Iulus Truptor
Jonus Maximus
Ladia Flarugrius
Lalaine Essagan
Lalatia Varian
Larienna Macrina
Larisus Dergius
Larrius Varro
Lassinia Mussillius
Laurina Maria
Letreius Muco
Levus Musilchiotus
Lucan Ostorius
Lucretinaus Olcinius
Lunia Menanius
Lurius Lalelius
Luspinian Hertarian
Maesa Gabinia
Malpenix Blonia
Manilian Scerius
Marsus Tullius
Matus Mido
Mecilvus Gabenagus
Miles Gloriosus
Molvirian Palenix
Moria Uulentanus
Murberius Harmevus
Murudius Flaeus
Mus Roscius
Namanian Facian
Naspis Apinia
Natalinus Flavonius
Nebia Amphia
Nirtunus Crunus
Nitterius Rato
Oritius Maro
Pallia Ceno
Pania Cadiusus
Pelena Acicius
Pellecia Aurrus
Percius Mercius
Peregrina Cnisia
Pilper Muspidius
Pilus Amatius
Plitinius Mero
Pritia Plalocius
Processus Vitellius
Procyon Nigilius
Pustula Baenius
Raesa Pullia
Raxle Berne
Red Livia
Ruccia Conician
Rufinus Alleius
Sabinus Oranius
Sabrina Vitellia
Saenus Lusius
Saprius Entius
Sarmosia Vant
Sauleius Cullian
Scelian Plebo
Segunivus Mantedius
Seliulus Laenius
Sellus Gravius
Selvia Famalius
Senilias Cadiusus
Severa Magia
Severia Gratius
Silius Fulcinius
Sirollus Saccus
Sitialius Catanius
Snowy Granius
Solea Nuccusius
Somutis Vunnis
Stentus Tullius
Stlubo Otiustiris
Strillian Macro
Surus Velvus
Syloria Siruliulus
Synnolian Tunifus
Tappius Esdrecus
Tasellis Burtilius
Thraccenia Urgusiso
Ticemius Conciatius
Tienius Delitian
Tininnus Scinia
Trebonius Artorius
Turedus Talanian
Vala Catraso
Vala Herennius
Valgus Statlilius
Valvius Mevureius
Vantustius Pundus
Varian Angius
Varus Vantinius
Vasesius Viciulus
Vertilvius Cines
Vianis Tiragrius
Viatrix Petilia
Viccia Claevius
Vilbia Herennia
Vinnus Laecinnius
Vodunius Nuccius
Volrina Quarra
Zeno Faustus
