# Imperial Female NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Adalaise Evicus | tr
Adraria Vandacia | vanilla
Adriana Lencia | tr
Aemilia Torquatus | tr
Aerelia Decius | tr
Aetia Nemesia | tr
Agrippina Herennia | vanilla
Ahetotis Furotis | vanilla
Alia Jural | tr
Allia Aberus | tr
Ambrosia Hegetor | tr
Amelina Cornelia | tr
Amelphia Tarramon | tr
Amia Otticus | tr
Amores Letia | tr
Andrea Loria | tr
Annia Libo | tr
Antigone Calathes | tr
Antonia Fidenas | tr
Aphia Messinia | tr
Aphorva Cnistula | tr
Apphia Calanius | tr
Apronia Catorius | tr
Arachnia Armix | tr
Araphemia Istrix | tr
Areanne Vara | tr
Aria Ioclania | tr
Arlanis Sertius | tr
Arnora Conician | tr
Asta Pelius | tr
Atacia Mucio | tr
Atria Vostrius | tr
Attia Saradelphin | tr
Audania Afronia | vanilla
Audania Ranius | tr
Augusta Vantinius | tr
Aurelia Draconis | tr
Aurelia Ordo | tr
Avelia Dacian | tr
Aventina Gallenus | tr
Avita Atratinus | tr
Banvira Auctoria | tr
Barbea Ceno | tr
Barirrid Popillius | tr
Belisatha Mede | tr
Bellisa Dacia | tr
Blatta Hateria | vanilla
Braccia Consilia | tr
Brintia Minus | tr
Britta Philidus | tr
Cadessa Vadion | tr
Caecalia Victrix | tr
Caecilia Evicus | tr
Caeva Jacronix | tr
Cala Decodorius | tr
Calsa Attius | tr
Camillia Chora | tr
Cania Mico | vanilla
Cania Vitellie | tr
Canicia Casca | tr
Canodia Felannus | vanilla
Capia Hegeteria | tr
Carila Cacian | tr
Carmana Scerius | tr
Carolia Vulso | tr
Carva Hertia | tr
Carvera Tido | tr
Casse Atrius | tr
Cassynderia Lys | tr
Catru Mettilan | tr
Cealunia Pastoris | tr
Celia Dartanis | tr
Celina Russus | tr
Cerania Reberius | tr
Cheyda Cadusia | tr
Chiara Auruncula | tr
Cinda Mino | tr
Cinda Pelelius | tr
Cinia Andacia | tr
Cinia Urtius | vanilla
Cireri Bradus | tr
Clilias Pullia | vanilla
Coladia Nelus | tr
Comilla Rotilia | tr
Corvia Sansalas | tr
Craetia Jullalian | vanilla
Cyria Bachand | tr
Cyria Flavius | tr
Daeria Vucinia | tr
Decimia Arcafex | tr
Dorisola Laera | tr
Drusilla Farragian | tr
Duchess Perulia Jandacia | tr
Durmania Hosidus | tr
Dyanna Ishmar | tr
Eirena Dione | tr
Elia Avacian | tr
Elissia Barraviil | tr
Eltia Coralex | tr
Emelia Duronia | vanilla
Emelia Vicici | tr
Emmeria Nelis | tr
Emphalia Auriil | tr
Ensalda Lacinius | tr
Ephaie Calicca | tr
Eponis Vinipter | vanilla
Eririda Vendidus | tr
Ernaia Gelsus | tr
Esetolia Monci | tr
Fantia Loratia | tr
Felixia Talanian | tr
Fentula Pevengius | vanilla
Fila Artoria | tr
Flacassia Fauseius | vanilla
Flaenia Amiulusus | vanilla
Flora Mamercino | tr
Fortunata Valius | tr
Fralvia Sibassius | vanilla
Frascia Jandacia | tr
Friela Antoni | tr
Fruscia Abitius | vanilla
Fulmenia Crassian | tr
Galantra Sillo | tr
Gemma Pasaennius | tr
Gena Varo | tr
Getrula Merosiar | tr
Giacinia Andelius | tr
Gilara Renus | tr
Ginevra Castorian | tr
Glaucia Rumariil | tr
Gnaea Ellerian | tr
Hagnea Anasius | tr
Harminia Daranith | tr
Helina Portus | tr
Herdonia Varan | tr
Heria Vassina | tr
Hermea Artea | tr
Hessia Gracco | tr
Hestalia Olto | tr
Horatia Statilius | tr
Horulia Jannus | vanilla
Horulia Tappo | tr
Horusia Luctor | tr
Hyponea Scinia | tr
Idessia Jucanus | tr
Idonea Munia | vanilla
Idonea Onus | tr
Iesia Proceno | tr
Igolona Senyan | tr
Ilana Severn | tr
Ildana Antellius | tr
Ildonis Peltus | tr
Iletia Hemania | tr
Ilnora Pelelius | tr
Imperial Mananaut | tr
Ioseptha Auriil | tr
Irene Pelenitus | tr
Isia Civeran | tr
Itia Osiccia | tr
Iullina Harquart | tr
Jacchia Denter | tr
Jana Livia | tr
Janonia Camerinus | tr
Janonia Melitus | tr
Jastira Vettiena | tr
Jastta Nivellus | tr
Juilecca Suvia | tr
Juldona Mero | tr
Juratula Fenoccio | tr
Kaie Aeresius | tr
Karandia Corrux | tr
Kulia Sansalas | tr
Kyla Carlinus | tr
Ladia Flarugrius | vanilla
Ladia Tunifus | tr
Ladiaia Guarnia | tr
Lalaine Essagan | vanilla
Lalatia Varian | vanilla
Lanaria Fulvius | tr
Lanasa Vidanes | tr
Lanoria Munia | tr
Laonia Berno | tr
Lara Filmona | tr
Larienna Macrina | vanilla
Larienna Strabo | tr
Larina Lutia | tr
Lassinia Mussillius | vanilla
Lattia Crunus | tr
Layla Simicus | tr
Lecitia Nerus | tr
Lelu Velald | tr
Lenoria Flutius | tr
Linia Trellus | tr
Lissinia Bax | tr
Livonia Callidus | tr
Lora Avis | tr
Lucia Mor | tr
Lucina Roran | tr
Lucinia Strilla | tr
Lunia Menanius | vanilla
Lupica Gedanis | tr
Lyanna Ismal | tr
Lysenia Rethelius | tr
Lysima Venitus | tr
Madala Ceno | tr
Maesa Gabinia | vanilla
Maeva Rarian | tr
Mantra Halia | tr
Marelia Grasia | tr
Margia Sycora | tr
Maria Afrana | tr
Marja Iannus | tr
Marlena Direnus | tr
Marlena Furotis | tr
Martia Velurius | tr
Medenia Ardasia | tr
Melia Aurivia | tr
Menie Perius | tr
Merronia Tila | tr
Merxia Vendicci | tr
Modenia Jubina | tr
Moren Silanus | tr
Moria Uulentanus | vanilla
Musa Talania | tr
Nadia Imprimus | tr
Naspia Trasius | tr
Nastasia Albattia | tr
Natis Velontia | tr
Nebia Amphia | vanilla
Nilia Oranata | tr
Nurela Ucasea | tr
Nystera Uphenosia | tr
Ocha Darothril | tr
Octavia Maris | tr
Odunia Hare | tr
Pallatia Prentus | tr
Pallia Ceno | vanilla
Pallia Virsa | tr
Panaia Tritius | tr
Pania Cadiusus | vanilla
Paranemisia Apher | tr
Parienna Amalius | tr
Peladia Varousha | tr
Pelena Acicius | vanilla
Pellecia Aurrus | vanilla
Peregrina Cnisia | vanilla
Phedre Briricca | tr
Pompeia Dolabella | tr
Porcilla Dythos | tr
Prallia Cnisia | tr
Pritia Plalocius | vanilla
Pustula Mero | tr
Quenta Cuptienus | tr
Quercia Robura | tr
Raesa Pullia | vanilla
Red Livia | vanilla
Renee Locutius | tr
Renixia Vedius | tr
Ria Granacia | tr
Rista Ausonia | tr
Ristina Perius | tr
Ritaria Gravia | tr
Romana Sullius | tr
Rosia Valo | tr
Rucalia Vaspanian | tr
Ruccia Conician | vanilla
Ruccia Gallo | tr
Ruma Soanix | tr
Rusilla Cilius | tr
Sabrina Cines | tr
Salira Proculla | tr
Salona Succus | tr
Samera Varrus | tr
Sarmosia Vant | vanilla
Sedyni Vatronius | tr
Sela Delvencii | tr
Selvia Famalius | vanilla
Servia Lattia | tr
Severa Magia | vanilla
Silana Sentulus | tr
Silandria Aspeus | tr
Solea Amnis | tr
Solea Nuccusius | vanilla
Somassia Ganocrin | tr
Sona Pulexia | tr
Sudia Prelius | tr
Sylivia Asellus | tr
Syloria Siruliulus | vanilla
Taccia Fulmen | tr
Taia Carnavian | tr
Terrara Dorso | tr
Thaisa Arkaniil | tr
Thona Zayria | tr
Thraccenia Urgusiso | vanilla
Threxia Sansalas | tr
Tibera Rone | tr
Timentia Sax | tr
Tirinia Malcus | tr
Tiunia Veltrus | tr
Tulciana Fastorus | tr
Ulla Danantia | tr
Vala Catraso | vanilla
Valacca Prontia | tr
Valenia Sorrich | tr
Valkreia Krex | tr
Valoria Autrinix | tr
Vara Solius | tr
Varia Terus | tr
Venatria Salvo | tr
Vesperia Nux | tr
Viania Claeni | tr
Vianis Tiragrius | vanilla
Viatrix Petilia | vanilla
Viccia Claevius | vanilla
Vicenia Ginzo | tr
Vincia Catiotus | tr
Vinoria Clatian | tr
Vistienna Galnacius | tr
Vistilia Sparilus | tr
Vivera Rinusia | tr
Voatrix Xania | tr
Volrencia Tedissos | tr
Volrina Quarra | vanilla
Xephania Bresso | tr
